distributor_name,organization_name_raw,organization_type,city,state,relationship_type,relationship_description,evidence_text_short,source_url,source_name,source_publish_date,source_access_date,confidence_score,is_confirmed_relationship,extraction_method,notes,normalized_organization_name
Medline,Innovative Renal Care,IDN,National,US,confirmed_supply,Implemented PV agreement,Implemented PV agreement,https://newsroom.medline.com/releases/page/3/,Medline Newsroom,2026-01-07,2026-04-19,1.0,True,expert_search,Confirmed by press release or official source,INNOVATIVE RENAL CARE
Medline,Signature HealthCARE,IDN,National,US,confirmed_supply,PV agreement,PV agreement,https://newsroom.medline.com/releases/page/3/,Medline Newsroom,2025-12-29,2026-04-19,1.0,True,expert_search,Confirmed by press release or official source,SIGNATURE
Medline,Atlanta Women's Health Group,IDN,Atlanta,GA,confirmed_supply,Named Medline as Prime Vendor,Named Medline as Prime Vendor,https://newsroom.medline.com/releases/page/3/,Medline Newsroom,2026-01-16,2026-04-19,1.0,True,expert_search,Confirmed by press release or official source,ATLANTA WOMEN'S HEALTH
Medline,Johns Hopkins Medicine,IDN,Baltimore,MD,confirmed_supply,Five-year PV distribution agreement for 16 facilities,Five-year PV distribution agreement for 16 facilities,https://newsroom.medline.com/releases/johns-hopkins-medicine-awards-medline-prime-vendor-distribution-agreement/,Medline Newsroom,2017-06-13,2026-04-19,1.0,True,expert_search,Confirmed by press release or official source,JOHNS HOPKINS MEDICINE
Medline,CommonSpirit Health,IDN,Chicago,IL,confirmed_supply,Expanded prime vendor agreement valued at $1.5B annually,Expanded prime vendor agreement valued at $1.5B annually,https://matrixbcg.com/products/medline-marketing-mix,MatrixBCG,2024-01-01,2026-04-19,0.9,True,expert_search,Confirmed by press release or official source,COMMONSPIRIT
Medline,Northwestern Medicine,IDN,Chicago,IL,confirmed_supply,Long-standing PV and AI supply chain pilot partner,Long-standing PV and AI supply chain pilot partner,https://newsroom.medline.com/releases/medline-collaborates-with-northwestern-medicine-and-providence-on-next-generation-microsoft-based-ai-powered-supply-chain-solution/,Medline Newsroom,2025-10-01,2026-04-19,1.0,True,expert_search,Confirmed by press release or official source,NORTHWESTERN MEDICINE
Medline,Providence,IDN,Renton,WA,confirmed_supply,Long-standing PV and AI supply chain pilot partner,Long-standing PV and AI supply chain pilot partner,https://newsroom.medline.com/releases/medline-collaborates-with-northwestern-medicine-and-providence-on-next-generation-microsoft-based-ai-powered-supply-chain-solution/,Medline Newsroom,2025-10-01,2026-04-19,1.0,True,expert_search,Confirmed by press release or official source,PROVIDENCE
Medline,Mass General Brigham,IDN,Boston,MA,confirmed_supply,Exclusive PV for med-surg supplies after 25 years with previous vendor,Exclusive PV for med-surg supplies after 25 years with previous vendor,https://newsroom.medline.com/supply-chain/mass-general-brigham-selects-medline-as-strategic-vendor-for-medical-supplies/,Medline Newsroom,2023-02-27,2026-04-19,1.0,True,expert_search,Confirmed by press release or official source,MASS GENERAL BRIGHAM
Medline,Beacon Health System,IDN,South Bend,IN,confirmed_supply,PV lab agreement for 11 hospitals,PV lab agreement for 11 hospitals,https://www.jhconline.com/beacon-health-system-signs-prime-vendor-lab-agreement-with-medline.html,JHC Online,2025-12-19,2026-04-19,1.0,True,expert_search,Confirmed by press release or official source,BEACON
Medline,Mount Sinai Health System,IDN,New York,NY,confirmed_supply,$725M multi-year PV partnership across 8 hospital campuses,$725M multi-year PV partnership across 8 hospital campuses,https://healthnewsillinois.com/2022/03/29/mount-sinai-health-system-returns-to-medline-as-its-exclusive-medical-supplies-and-solutions-distributor/,Health News Illinois,2022-03-29,2026-04-19,1.0,True,expert_search,Confirmed by press release or official source,MOUNT SINAI
Medline,AdventHealth,IDN,Altamonte Springs,FL,confirmed_supply,Continued utilization as PV distributor for all medical and surgical supplies,Continued utilization as PV distributor for all medical and surgical supplies,https://www.adventhealth.com/news/adventhealth-medline-ink-unique-partnership-expand-supply-chain-resiliency,AdventHealth News,2024-05-14,2026-04-19,1.0,True,expert_search,Confirmed by press release or official source,ADVENTHEALTH
McKesson,Alameda Health System,IDN,Oakland,CA,confirmed_supply,Pharmacy Distribution agreement for 90%+ pharmaceuticals,Pharmacy Distribution agreement for 90%+ pharmaceuticals,https://www.alamedahealthsystem.org/wp-content/uploads/2025/08/2025-09-03-FIN-Boardbook-FINAL.pdf,Alameda Health System,2025-09-03,2026-04-19,1.0,True,expert_search,Confirmed by press release or official source,ALAMEDA
McKesson,CVS Caremark,retail pharmacy,National,US,confirmed_supply,Extended pharmacy distribution agreement thru June 2027,Extended pharmacy distribution agreement thru June 2027,https://hospitalogy.com/articles/2022-10-03/value-based-specialty-care-one-oncology-eom/,Hospitalogy,2022-10-03,2026-04-19,1.0,True,expert_search,Confirmed by press release or official source,CVS CAREMARK
Cardinal Health,NYC Health and Hospitals,IDN,New York,NY,confirmed_supply,Renewal of medical and surgical supply distribution for 5+2 years,Renewal of medical and surgical supply distribution for 5+2 years,https://hhinternet.blob.core.windows.net/uploads/2025/04/202504-executive.pdf,NYC Health + Hospitals,2025-04-08,2026-04-19,1.0,True,expert_search,Confirmed by press release or official source,NYC HEALTH AND HOSPITALS
McKesson,Department of Veterans Affairs,government,National,US,confirmed_supply,Prime Pharmaceutical Supplier to VA Healthcare System,Prime Pharmaceutical Supplier to VA Healthcare System,https://investor.mckesson.com/news/financial-news/2012/McKesson-Selected-by-Department-of-Veterans-Affairs-as-Prime-Pharmaceutical-Supplier-to-VA-Healthcare-System/default.aspx,McKesson Investor Relations,2012-05-01,2026-04-19,1.0,True,expert_search,Confirmed by press release or official source,DEPARTMENT OF VETERANS AFFAIRS
Medline,CHI Health Lakeside,hospital,Omaha,NE,confirmed_supply,CommonSpirit Health IDN Prime Vendor Distribution,CommonSpirit Health IDN Prime Vendor Distribution,https://matrixbcg.com/products/medline-marketing-mix,MatrixBCG,2024-01-01,2026-04-19,0.9,True,expert_search,Confirmed by press release or official source,CHI HEALTH LAKESIDE
Medline,CHI Health St. Elizabeth,hospital,Lincoln,NE,confirmed_supply,CommonSpirit Health IDN Prime Vendor Distribution,CommonSpirit Health IDN Prime Vendor Distribution,https://matrixbcg.com/products/medline-marketing-mix,MatrixBCG,2024-01-01,2026-04-19,0.9,True,expert_search,Confirmed by press release or official source,CHI HEALTH ST ELIZABETH
Medline,CommonSpirit Holy Cross Hospital-Jordan Valley,hospital,West Jordan,UT,confirmed_supply,CommonSpirit Health IDN Prime Vendor Distribution,CommonSpirit Health IDN Prime Vendor Distribution,https://matrixbcg.com/products/medline-marketing-mix,MatrixBCG,2024-01-01,2026-04-19,0.9,True,expert_search,Confirmed by press release or official source,COMMONSPIRIT HOLY CROSS HOSPITAL-JORDAN VALLEY
Medline,Marian Regional Medical Center,hospital,Santa Maria,CA,confirmed_supply,CommonSpirit Health IDN Prime Vendor Distribution,CommonSpirit Health IDN Prime Vendor Distribution,https://matrixbcg.com/products/medline-marketing-mix,MatrixBCG,2024-01-01,2026-04-19,0.9,True,expert_search,Confirmed by press release or official source,MARIAN REGIONAL
Medline,Mercy Medical Center Merced,hospital,Merced,CA,confirmed_supply,CommonSpirit Health IDN Prime Vendor Distribution,CommonSpirit Health IDN Prime Vendor Distribution,https://matrixbcg.com/products/medline-marketing-mix,MatrixBCG,2024-01-01,2026-04-19,0.9,True,expert_search,Confirmed by press release or official source,MERCY MEDICAL CENTER MERCED
Medline,Mercy San Juan Medical Center,hospital,Carmichael,CA,confirmed_supply,CommonSpirit Health IDN Prime Vendor Distribution,CommonSpirit Health IDN Prime Vendor Distribution,https://matrixbcg.com/products/medline-marketing-mix,MatrixBCG,2024-01-01,2026-04-19,0.9,True,expert_search,Confirmed by press release or official source,MERCY SAN JUAN
Medline,Methodist Hospital of Sacramento,hospital,Sacramento,CA,confirmed_supply,CommonSpirit Health IDN Prime Vendor Distribution,CommonSpirit Health IDN Prime Vendor Distribution,https://matrixbcg.com/products/medline-marketing-mix,MatrixBCG,2024-01-01,2026-04-19,0.9,True,expert_search,Confirmed by press release or official source,METHODIST HOSPITAL OF SACRAMENTO
Medline,Northridge Hospital Medical Center,hospital,Northridge,CA,confirmed_supply,CommonSpirit Health IDN Prime Vendor Distribution,CommonSpirit Health IDN Prime Vendor Distribution,https://matrixbcg.com/products/medline-marketing-mix,MatrixBCG,2024-01-01,2026-04-19,0.9,True,expert_search,Confirmed by press release or official source,NORTHRIDGE
Medline,OrthoColorado Hospital,hospital,Lakewood,CO,confirmed_supply,CommonSpirit Health IDN Prime Vendor Distribution,CommonSpirit Health IDN Prime Vendor Distribution,https://matrixbcg.com/products/medline-marketing-mix,MatrixBCG,2024-01-01,2026-04-19,0.9,True,expert_search,Confirmed by press release or official source,ORTHOCOLORADO
Medline,Saint Rose Dominican Hospitals Siena,hospital,Henderson,NV,confirmed_supply,CommonSpirit Health IDN Prime Vendor Distribution,CommonSpirit Health IDN Prime Vendor Distribution,https://matrixbcg.com/products/medline-marketing-mix,MatrixBCG,2024-01-01,2026-04-19,0.9,True,expert_search,Confirmed by press release or official source,SAINT ROSE DOMINICAN HOSPITALS SIENA
Medline,Sequoia Hospital,hospital,Redwood City,CA,confirmed_supply,CommonSpirit Health IDN Prime Vendor Distribution,CommonSpirit Health IDN Prime Vendor Distribution,https://matrixbcg.com/products/medline-marketing-mix,MatrixBCG,2024-01-01,2026-04-19,0.9,True,expert_search,Confirmed by press release or official source,SEQUOIA
Medline,St. Luke's Health-Memorial Hospital-Lufkin,hospital,Lufkin,TX,confirmed_supply,CommonSpirit Health IDN Prime Vendor Distribution,CommonSpirit Health IDN Prime Vendor Distribution,https://matrixbcg.com/products/medline-marketing-mix,MatrixBCG,2024-01-01,2026-04-19,0.9,True,expert_search,Confirmed by press release or official source,ST LUKE'S HEALTH-MEMORIAL HOSPITAL-LUFKIN
Medline,Woodland Memorial Hospital,hospital,Woodland,CA,confirmed_supply,CommonSpirit Health IDN Prime Vendor Distribution,CommonSpirit Health IDN Prime Vendor Distribution,https://matrixbcg.com/products/medline-marketing-mix,MatrixBCG,2024-01-01,2026-04-19,0.9,True,expert_search,Confirmed by press release or official source,WOODLAND MEMORIAL
Medline,AdventHealth Orlando,hospital,Various,FL,confirmed_supply,AdventHealth IDN Prime Vendor Distribution,AdventHealth IDN Prime Vendor Distribution,https://www.adventhealth.com/news/adventhealth-medline-ink-unique-partnership-expand-supply-chain-resiliency,AdventHealth News,2024-05-14,2026-04-19,1.0,True,expert_search,Confirmed by press release or official source,ADVENTHEALTH ORLANDO
Medline,AdventHealth Altamonte Springs,hospital,Various,FL,confirmed_supply,AdventHealth IDN Prime Vendor Distribution,AdventHealth IDN Prime Vendor Distribution,https://www.adventhealth.com/news/adventhealth-medline-ink-unique-partnership-expand-supply-chain-resiliency,AdventHealth News,2024-05-14,2026-04-19,1.0,True,expert_search,Confirmed by press release or official source,ADVENTHEALTH ALTAMONTE SPRINGS
Medline,AdventHealth Apopka,hospital,Various,FL,confirmed_supply,AdventHealth IDN Prime Vendor Distribution,AdventHealth IDN Prime Vendor Distribution,https://www.adventhealth.com/news/adventhealth-medline-ink-unique-partnership-expand-supply-chain-resiliency,AdventHealth News,2024-05-14,2026-04-19,1.0,True,expert_search,Confirmed by press release or official source,ADVENTHEALTH APOPKA
Medline,AdventHealth Celebration,hospital,Various,FL,confirmed_supply,AdventHealth IDN Prime Vendor Distribution,AdventHealth IDN Prime Vendor Distribution,https://www.adventhealth.com/news/adventhealth-medline-ink-unique-partnership-expand-supply-chain-resiliency,AdventHealth News,2024-05-14,2026-04-19,1.0,True,expert_search,Confirmed by press release or official source,ADVENTHEALTH CELEBRATION
Medline,AdventHealth Connerton,hospital,Various,FL,confirmed_supply,AdventHealth IDN Prime Vendor Distribution,AdventHealth IDN Prime Vendor Distribution,https://www.adventhealth.com/news/adventhealth-medline-ink-unique-partnership-expand-supply-chain-resiliency,AdventHealth News,2024-05-14,2026-04-19,1.0,True,expert_search,Confirmed by press release or official source,ADVENTHEALTH CONNERTON
Medline,AdventHealth Daytona Beach,hospital,Various,FL,confirmed_supply,AdventHealth IDN Prime Vendor Distribution,AdventHealth IDN Prime Vendor Distribution,https://www.adventhealth.com/news/adventhealth-medline-ink-unique-partnership-expand-supply-chain-resiliency,AdventHealth News,2024-05-14,2026-04-19,1.0,True,expert_search,Confirmed by press release or official source,ADVENTHEALTH DAYTONA BEACH
Medline,AdventHealth DeLand,hospital,Various,FL,confirmed_supply,AdventHealth IDN Prime Vendor Distribution,AdventHealth IDN Prime Vendor Distribution,https://www.adventhealth.com/news/adventhealth-medline-ink-unique-partnership-expand-supply-chain-resiliency,AdventHealth News,2024-05-14,2026-04-19,1.0,True,expert_search,Confirmed by press release or official source,ADVENTHEALTH DELAND
Medline,AdventHealth East Orlando,hospital,Various,FL,confirmed_supply,AdventHealth IDN Prime Vendor Distribution,AdventHealth IDN Prime Vendor Distribution,https://www.adventhealth.com/news/adventhealth-medline-ink-unique-partnership-expand-supply-chain-resiliency,AdventHealth News,2024-05-14,2026-04-19,1.0,True,expert_search,Confirmed by press release or official source,ADVENTHEALTH EAST ORLANDO
Medline,AdventHealth Fish Memorial,hospital,Various,FL,confirmed_supply,AdventHealth IDN Prime Vendor Distribution,AdventHealth IDN Prime Vendor Distribution,https://www.adventhealth.com/news/adventhealth-medline-ink-unique-partnership-expand-supply-chain-resiliency,AdventHealth News,2024-05-14,2026-04-19,1.0,True,expert_search,Confirmed by press release or official source,ADVENTHEALTH FISH MEMORIAL
Medline,AdventHealth Heart of Florida,hospital,Various,FL,confirmed_supply,AdventHealth IDN Prime Vendor Distribution,AdventHealth IDN Prime Vendor Distribution,https://www.adventhealth.com/news/adventhealth-medline-ink-unique-partnership-expand-supply-chain-resiliency,AdventHealth News,2024-05-14,2026-04-19,1.0,True,expert_search,Confirmed by press release or official source,ADVENTHEALTH HEART OF FLORIDA
Medline,AdventHealth Kissimmee,hospital,Various,FL,confirmed_supply,AdventHealth IDN Prime Vendor Distribution,AdventHealth IDN Prime Vendor Distribution,https://www.adventhealth.com/news/adventhealth-medline-ink-unique-partnership-expand-supply-chain-resiliency,AdventHealth News,2024-05-14,2026-04-19,1.0,True,expert_search,Confirmed by press release or official source,ADVENTHEALTH KISSIMMEE
Medline,AdventHealth Lake Mary,hospital,Various,FL,confirmed_supply,AdventHealth IDN Prime Vendor Distribution,AdventHealth IDN Prime Vendor Distribution,https://www.adventhealth.com/news/adventhealth-medline-ink-unique-partnership-expand-supply-chain-resiliency,AdventHealth News,2024-05-14,2026-04-19,1.0,True,expert_search,Confirmed by press release or official source,ADVENTHEALTH LAKE MARY
Medline,AdventHealth Lake Placid,hospital,Various,FL,confirmed_supply,AdventHealth IDN Prime Vendor Distribution,AdventHealth IDN Prime Vendor Distribution,https://www.adventhealth.com/news/adventhealth-medline-ink-unique-partnership-expand-supply-chain-resiliency,AdventHealth News,2024-05-14,2026-04-19,1.0,True,expert_search,Confirmed by press release or official source,ADVENTHEALTH LAKE PLACID
Medline,AdventHealth New Smyrna Beach,hospital,Various,FL,confirmed_supply,AdventHealth IDN Prime Vendor Distribution,AdventHealth IDN Prime Vendor Distribution,https://www.adventhealth.com/news/adventhealth-medline-ink-unique-partnership-expand-supply-chain-resiliency,AdventHealth News,2024-05-14,2026-04-19,1.0,True,expert_search,Confirmed by press release or official source,ADVENTHEALTH NEW SMYRNA BEACH
Medline,AdventHealth North Pinellas,hospital,Various,FL,confirmed_supply,AdventHealth IDN Prime Vendor Distribution,AdventHealth IDN Prime Vendor Distribution,https://www.adventhealth.com/news/adventhealth-medline-ink-unique-partnership-expand-supply-chain-resiliency,AdventHealth News,2024-05-14,2026-04-19,1.0,True,expert_search,Confirmed by press release or official source,ADVENTHEALTH NORTH PINELLAS
Medline,AdventHealth Ocala,hospital,Various,FL,confirmed_supply,AdventHealth IDN Prime Vendor Distribution,AdventHealth IDN Prime Vendor Distribution,https://www.adventhealth.com/news/adventhealth-medline-ink-unique-partnership-expand-supply-chain-resiliency,AdventHealth News,2024-05-14,2026-04-19,1.0,True,expert_search,Confirmed by press release or official source,ADVENTHEALTH OCALA
Medline,AdventHealth Palm Coast,hospital,Various,FL,confirmed_supply,AdventHealth IDN Prime Vendor Distribution,AdventHealth IDN Prime Vendor Distribution,https://www.adventhealth.com/news/adventhealth-medline-ink-unique-partnership-expand-supply-chain-resiliency,AdventHealth News,2024-05-14,2026-04-19,1.0,True,expert_search,Confirmed by press release or official source,ADVENTHEALTH PALM COAST
Medline,AdventHealth Sebring,hospital,Various,FL,confirmed_supply,AdventHealth IDN Prime Vendor Distribution,AdventHealth IDN Prime Vendor Distribution,https://www.adventhealth.com/news/adventhealth-medline-ink-unique-partnership-expand-supply-chain-resiliency,AdventHealth News,2024-05-14,2026-04-19,1.0,True,expert_search,Confirmed by press release or official source,ADVENTHEALTH SEBRING
Medline,AdventHealth Tampa,hospital,Various,FL,confirmed_supply,AdventHealth IDN Prime Vendor Distribution,AdventHealth IDN Prime Vendor Distribution,https://www.adventhealth.com/news/adventhealth-medline-ink-unique-partnership-expand-supply-chain-resiliency,AdventHealth News,2024-05-14,2026-04-19,1.0,True,expert_search,Confirmed by press release or official source,ADVENTHEALTH TAMPA
Medline,AdventHealth Waterman,hospital,Various,FL,confirmed_supply,AdventHealth IDN Prime Vendor Distribution,AdventHealth IDN Prime Vendor Distribution,https://www.adventhealth.com/news/adventhealth-medline-ink-unique-partnership-expand-supply-chain-resiliency,AdventHealth News,2024-05-14,2026-04-19,1.0,True,expert_search,Confirmed by press release or official source,ADVENTHEALTH WATERMAN
Medline,AdventHealth Winter Park,hospital,Various,FL,confirmed_supply,AdventHealth IDN Prime Vendor Distribution,AdventHealth IDN Prime Vendor Distribution,https://www.adventhealth.com/news/adventhealth-medline-ink-unique-partnership-expand-supply-chain-resiliency,AdventHealth News,2024-05-14,2026-04-19,1.0,True,expert_search,Confirmed by press release or official source,ADVENTHEALTH WINTER PARK
Medline,AdventHealth Zephyrhills,hospital,Various,FL,confirmed_supply,AdventHealth IDN Prime Vendor Distribution,AdventHealth IDN Prime Vendor Distribution,https://www.adventhealth.com/news/adventhealth-medline-ink-unique-partnership-expand-supply-chain-resiliency,AdventHealth News,2024-05-14,2026-04-19,1.0,True,expert_search,Confirmed by press release or official source,ADVENTHEALTH ZEPHYRHILLS
Medline,Bedford VAMC,hospital,Various,Various,confirmed_supply,VA MSPV 2.0 / Gen-Z VISN 1 Primary Prime Vendor,Awarded MSPV 2.0 contract for VISN 1,https://news.va.gov/press-room/va-awards-medical-surgical-prime-vendor-2-0-contracts-for-distribution-and-supply-management-services-to-provide-veteran-health-care/,VA News,2020-10-23,2026-04-19,1.0,True,va_mspv_mapping,Mapped from VISN award,BEDFORD VAMC
Medline,Boston VAMC,hospital,Various,Various,confirmed_supply,VA MSPV 2.0 / Gen-Z VISN 1 Primary Prime Vendor,Awarded MSPV 2.0 contract for VISN 1,https://news.va.gov/press-room/va-awards-medical-surgical-prime-vendor-2-0-contracts-for-distribution-and-supply-management-services-to-provide-veteran-health-care/,VA News,2020-10-23,2026-04-19,1.0,True,va_mspv_mapping,Mapped from VISN award,BOSTON VAMC
Medline,Connecticut VAMC,hospital,Various,Various,confirmed_supply,VA MSPV 2.0 / Gen-Z VISN 1 Primary Prime Vendor,Awarded MSPV 2.0 contract for VISN 1,https://news.va.gov/press-room/va-awards-medical-surgical-prime-vendor-2-0-contracts-for-distribution-and-supply-management-services-to-provide-veteran-health-care/,VA News,2020-10-23,2026-04-19,1.0,True,va_mspv_mapping,Mapped from VISN award,CONNECTICUT VAMC
Medline,Manchester VAMC,hospital,Various,Various,confirmed_supply,VA MSPV 2.0 / Gen-Z VISN 1 Primary Prime Vendor,Awarded MSPV 2.0 contract for VISN 1,https://news.va.gov/press-room/va-awards-medical-surgical-prime-vendor-2-0-contracts-for-distribution-and-supply-management-services-to-provide-veteran-health-care/,VA News,2020-10-23,2026-04-19,1.0,True,va_mspv_mapping,Mapped from VISN award,MANCHESTER VAMC
Medline,Providence VAMC,hospital,Various,Various,confirmed_supply,VA MSPV 2.0 / Gen-Z VISN 1 Primary Prime Vendor,Awarded MSPV 2.0 contract for VISN 1,https://news.va.gov/press-room/va-awards-medical-surgical-prime-vendor-2-0-contracts-for-distribution-and-supply-management-services-to-provide-veteran-health-care/,VA News,2020-10-23,2026-04-19,1.0,True,va_mspv_mapping,Mapped from VISN award,PROVIDENCE VAMC
