Company,Website,State,City,Specialty,Procedure_Focus_Final,Disease_Focus_Tag,Disease_Focus_Evidence,Estimated_ASC_Count,Affiliated_Surgeon_Count,Procedure_Volume_Tier,Ownership_Model,Lead_BD_Contact,Contact_LinkedIn,Flagship_NPI
BASS Medical Group,https://www.bassmedicalgroup.com/,CA,Walnut Creek,Multi-Specialty,Mixed,Multi-Specialty | Orthopedics | Spine,Large MSO with dedicated BASS Surgery Centers and orthopedics division: [bassmedicalgroup.com],5+,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Bakersfield Surgery Center,https://bakersfieldsurgerycenter.com/,CA,Bakersfield,,,Multi-Specialty (Ortho/Spine),Dedicated outpatient facility in Kern County for musculoskeletal care: [bakersfieldsurgerycenter.com],1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Bay Area Orthopaedic & Sports Specialists,https://bayareaortho.com/,CA,Walnut Creek,Orthopedics,Orthopedic,Orthopedics | Spine,Specialized ortho and spine care in the East Bay: [bayareaortho.com],0,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Bay Area Spine & Sports,https://basports.com/,CA,Campbell,,,Spine,Integrated musculoskeletal care focusing on spine and sports medicine: [basports.com],0,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Bay Area Surgical Management,https://basmsurgical.com/,CA,Saratoga,,,Multi-Specialty (MSO),MSO managing multiple outpatient surgery centers in the Bay Area: [basmsurgical.com],3,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Beach Cities Orthopedics & Sports Medicine,https://www.beachcitiesortho.com/,CA,Manhattan Beach,,,Orthopedics,Specialized sports medicine and orthopedic group with an on-site surgery center in the South Bay: [beachcitiesortho.com],1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Beverly Hills Orthopedic Institute,https://beverlyhillsortho.com/,CA,Beverly Hills,,,Orthopedics,Expert orthopedic and pain management services in Beverly Hills: [beverlyhillsortho.com],0,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Beverly Hills Specialty Surgery Center,https://bhssc.com/,CA,Beverly Hills,,,Orthopedics | Spine,Dedicated outpatient facility for complex orthopedic and spinal reconstructions: [bhssc.com],1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Beverly Hills Spine Surgery,https://www.spine.md/,CA,Beverly Hills,Spine,Spine,Spine,Home of Dr. Lanman; focused on artificial disc replacement and motion preservation: [spine.md],0,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Blackhawk Surgery Center,https://blackhawksurgerycenter.com/,CA,Danville,,,Multi-Specialty (Ortho/Spine),Accredited Danville ASC with significant orthopedic surgical volume: [blackhawksurgerycenter.com],1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Burbank Surgery Center,https://burbankasc.com/,CA,Burbank,,,Multi-Specialty,Physician-led Burbank facility focused on musculoskeletal outpatient care: [burbankasc.com],1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
CORE Orthopaedic Medical Center,https://www.coreorthopaedic.com/,CA,Encinitas,Orthopedics,Orthopedic,Orthopedics,North County group affiliated with Advanced Surgery Center of North County: [coreorthopaedic.com],1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Cabrillo Surgery Center,https://cabrillosurgery.com/,CA,Ventura,,,Multi-Specialty,Accredited Ventura ASC with high orthopedic surgical volume: [cabrillosurgery.com],1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
California Advanced Pain & Spine Specialists,https://calpainspine.com/,CA,Fresno,,,Pain Management,Specialized interventional pain and spinal care center in Fresno: [calpainspine.com],0,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
California Orthopaedic Specialists,https://www.calortho.org/,CA,Newport Beach,Orthopedics,Orthopedic,Orthopedics,Team-based orthopedic practice established in 1974: [calortho.org],0,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
California Pacific Orthopaedics,https://calpacortho.com/,CA,San Francisco,,,Orthopedics | Spine,Bay Area leader in orthopaedics and sports-related injuries; site lists comprehensive spine care: [calpacortho.com],1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
California Pain Medicine Center,https://calpainmedicine.com/,CA,Los Angeles,,,Pain Management,LA-based specialists in interventional pain and spinal diagnostics: [calpainmedicine.com],0,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
California Spine & Pain Institute,https://californiaspineandpain.com/,CA,Tarzana,Spine,Spine,Pain Management,Focuses on interventional pain relief and spinal disorders: [californiaspineandpain.com],0,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
California Spine and Rehab,https://caspineandrehab.com/,CA,Los Angeles,Spine,Spine,Spine,Rehabilitation-focused spine care and interventional pain: [caspineandrehab.com],0,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Camarillo Surgery Center,https://camarillosurgery.com/,CA,Camarillo,,,Multi-Specialty,Serving Camarillo and Oxnard with specialized orthopedic care: [camarillosurgery.com],1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Campbell Clinic,,TN,,,,Orthopedics | Spine,,,90+,High,Physician-Owned,Daniel Shumate,https://www.linkedin.com/in/daniel-shumate-3a216410/,1265326664
Campus Surgery Center,https://campussurgerycenter.com/,CA,Daly City,,,Multi-Specialty (Ortho/Spine),San Mateo County hub for outpatient orthopedic and spine surgery: [campussurgerycenter.com],1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Capitol Surgery Center,https://capitolsurgerycenter.com/,CA,Sacramento,,,Multi-Specialty (Ortho/Spine),Sacramento-based ASC focused on outpatient surgical care including orthopedics: [capitolsurgerycenter.com],1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Carlsbad Surgery Center,https://carlsbadsurgery.com/,CA,Carlsbad,,,Multi-Specialty,Premier outpatient center for orthopedic and spine surgery in Carlsbad: [carlsbadsurgery.com],1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Carrillo Surgery Center,https://carrillosurgerycenter.com/,CA,Santa Barbara,,,Multi-Specialty (Ortho/Spine),Central Coast facility with high volume of orthopedic and sports medicine cases: [carrillosurgerycenter.com],1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Cedars-Sinai Spine Center,https://www.cedars-sinai.org/programs/spine.html,CA,Los Angeles,Spine,Spine,Spine,Nationally recognized program focusing on minimally invasive spine surgery and interventional pain management: [cedars-sinai.org/programs/spine/specialties],0 (Hospital Based),10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Center for Orthopaedic Specialists,https://www.cos-ortho.com/,CA,Chatsworth,,,Orthopedics | Spine,Physician-led group serving the San Fernando Valley with specialized orthopedic and spine care: [cos-ortho.com],0,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Center for Surgery of Encinitas,https://centersurgeryencinitas.com/,CA,Encinitas,,,Multi-Specialty (Ortho/Spine),North County San Diego hub for outpatient musculoskeletal surgery: [centersurgeryencinitas.com],1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Central Coast Orthopedic Medical Group,https://www.centralcoastortho.com/,CA,San Luis Obispo,,,Orthopedics,Multi-site group in SLO and Santa Maria specializing in surgical and non-surgical ortho: [centralcoastortho.com],0,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Central Valley Orthopedic & Rehabilitation,https://centralvalleyortho.com/,CA,Modesto,Orthopedics,Orthopedic,Orthopedics,Comprehensive orthopedic and rehabilitation center: [centralvalleyortho.com],0,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Central Valley Surgery Center,https://centralvalleysurgery.com/,CA,Modesto,,,Multi-Specialty (Ortho/Spine),Independent Modesto ASC focused on orthopedic and spinal surgery: [centralvalleysurgery.com],1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Chico Surgery Center,https://chicosurgerycenter.com/,CA,Chico,,,Multi-Specialty (Ortho/Spine),Northern California ASC with focus on joint replacement and spinal procedures: [chicosurgerycenter.com],1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Coast Surgery Center,https://coastsurgerycenter.com/,CA,Torrance,,,Orthopedics | Spine | Pain Management,Multi-specialty ASC in Torrance with three operating rooms for ortho/spine: [coastsurgerycenter.com],1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Coastal Medical Group,https://www.coastalmedicalgroup.com/,CA,Carlsbad,Mixed,Mixed,Orthopedics | Spine | Pain Management,Multi-disciplinary group serving North San Diego County: [coastalmedicalgroup.com],0,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Coastal Surgical Institute,https://coastalsurgicalinstitute.com/,CA,Pismo Beach,,,Multi-Specialty (Ortho/Spine),Physician-owned ASC serving Central Coast orthopedic specialists: [coastalsurgicalinstitute.com],1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Coastline Surgery Center,https://coastlineasc.com/,CA,Santa Ana,Multi-Specialty,Mixed,Multi-Specialty | Orthopedics | Spine,"Physician-owned ASC specializing in ortho, spine, and pain management: [coastlineasc.com]",1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Commons Clinic,https://commonsclinic.com/,CA,Los Angeles,Unknown,Spine,Spine | Orthopedics | Pain Management,"Advanced platform specializing in artificial disc replacement, robotic joints, and interventional pain: [commonsclinic.com/what-we-treat]",1 (Marina Orthopedic & Spine Institute),10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Contra Costa Orthopaedic Specialists,https://www.contracostaortho.com/,CA,Walnut Creek,,,Orthopedics,Physician-led group focused on joint preservation and general orthopedics: [contracostaortho.com],0,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Costa Mesa Surgery Center,https://costamesaasc.com/,CA,Costa Mesa,,,Multi-Specialty,Dedicated surgical facility for orthopedic and interventional pain specialists: [costamesaasc.com],1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
DISC Sports & Spine Center,https://www.discmdgroup.com/,CA,Newport Beach,Spine,Spine,Spine,High-acuity outpatient spine surgery and sports med platform owned by TriasMD: [discmdgroup.com],2,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
De La Vina Surgicenter,https://delavinasurgicenter.com/,CA,Santa Barbara,,,Multi-Specialty (Ortho/Spine),Independent surgical center serving Santa Barbara area specialists: [delavinasurgicenter.com],1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Desert Pain & Spine,https://desertpain.com/,CA,Rancho Mirage,,,Pain Management,Specialized interventional pain management with emphasis on spinal health: [desertpain.com],0,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Empire Spine and Pain,https://empirespineandpain.com/,CA,Chino,,,Pain Management,Interventional pain management and spine surgery specialists in Chino and Rancho Cucamonga: [empirespineandpain.com],0,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Florida Orthopaedic Institute,,FL,,,,Orthopedics,,,100+,High,Physician-Owned,"Roy Sanders, MD",https://www.floridaortho.com/,1457106288
Fondren Orthopedic Group,,TX,,,,Orthopedics,,,40+,High,Physician-Owned,Hardy Farris,https://www.linkedin.com/in/hardyfarris/,1427655356
Fort Sutter Surgery Center,https://fortsuttersurgerycenter.com/,CA,Sacramento,,,Multi-Specialty (Ortho/Spine),Dedicated outpatient facility with significant orthopedic and pain management programs: [fortsuttersurgerycenter.com],1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Fremont Surgery Center,https://fremontsurgerycenter.com/,CA,Fremont,,,Multi-Specialty,High-volume Bay Area ASC with specialized orthopedic programs: [fremontsurgerycenter.com],1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Fresno Surgical Hospital,https://fresnosurgicalhospital.com/,CA,Fresno,,,Orthopedics | Spine,Physician-owned hospital focusing exclusively on orthopedic and spinal surgery: [fresnosurgicalhospital.com],1 (Specialty Hospital),10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Fullerton Surgery Center,https://fullertonasc.com/,CA,Fullerton,,,Multi-Specialty,Accredited surgical facility for North Orange County orthopedic specialists: [fullertonasc.com],1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Girard Orthopaedic Surgeons,https://girardortho.com/,CA,San Diego,Orthopedics,Orthopedic,Orthopedics,"Comprehensive practice with offices in La Jolla, Chula Vista, and La Mesa: [girardortho.com]",0,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Glendale Surgical Center,https://glendalesurgical.com/,CA,Glendale,,,Multi-Specialty,Regional hub for same-day orthopedic and spinal procedures in Glendale: [glendalesurgical.com],1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Global Pain Care,https://www.globalpain.com/,CA,San Jose,,,Pain Management,Specialized interventional pain management group in the Bay Area: [globalpain.com],0,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Golden State Surgery Center,https://goldenstatesurgerycenter.com/,CA,San Jose,,,Multi-Specialty (Ortho/Spine),South Bay facility specializing in same-day orthopedic and spinal surgery: [goldenstatesurgerycenter.com],1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Grass Valley Surgery Center,https://grassvalleysurgery.com/,CA,Grass Valley,,,Multi-Specialty (Ortho/Spine),Serving the Sierra foothills with specialized orthopedic outpatient care: [grassvalleysurgery.com],1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Grossmont Orthopaedic Medical Group,https://www.grossmontortho.com/,CA,La Mesa,Orthopedics,Orthopedic,Orthopedics,Long-standing San Diego practice focused on joints and sports med: [grossmontortho.com],0,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Grossmont Surgery Center,https://grossmontsurgery.com/,CA,La Mesa,,,Multi-Specialty (Ortho/Spine),Independent ASC serving East County San Diego orthopedic specialists: [grossmontsurgery.com],1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Hacienda Surgery Center,https://haciendasurgerycenter.com/,CA,Pleasanton,,,Multi-Specialty (Ortho/Spine),East Bay hub for outpatient orthopedic and spinal procedures: [haciendasurgerycenter.com],1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Harbor Orthopaedic Surgery Medical Group,https://www.harborortho.com/,CA,San Pedro,,,Orthopedics,Specializes in adult and pediatric orthopedics and spinal surgery in the South Bay: [harborortho.com],0,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Humboldt Orthopaedics,https://humboldtortho.com/,CA,Eureka,,,Orthopedics,Primary orthopedic medical group in Humboldt County: [humboldtortho.com],0,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Huntington Beach Surgery Center,https://hbasc.com/,CA,Huntington Beach,,,Multi-Specialty,Regional outpatient hub for sports medicine and joint surgery: [hbasc.com],1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Inland Empire Orthopaedic Surgery Center,https://ieorthosurgery.com/,CA,Riverside,,,Orthopedics,Dedicated outpatient surgical facility for ortho-specific care in the IE: [ieorthosurgery.com],1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Inland Empire Orthopedic Surgery,https://ieortho.com/,CA,Ontario,,,Orthopedics,Comprehensive musculoskeletal care serving the Inland Empire: [ieortho.com],0,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Inland Orthopedic Institute,https://inlandorthoinstitute.com/,CA,Ontario,,,Orthopedics,Serving the Inland Empire with a focus on musculoskeletal trauma and restoration: [inlandorthoinstitute.com],0,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Irvine Specialty Surgery Center,https://irvinespecialty.com/,CA,Irvine,,,Multi-Specialty (Ortho/Spine),Accredited center focused on advanced orthopedic and spinal restoration: [irvinespecialty.com],1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Irvine Surgery Center,https://irvineasc.com/,CA,Irvine,,,Multi-Specialty,Accredited center focused on advanced orthopedic and spinal care: [irvineasc.com],1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Kaiser Permanente Southern California Orthopedics,https://healthy.kaiserpermanente.org/,CA,Los Angeles,Orthopedics,Orthopedic,Orthopedics | Spine,Integrated healthcare system with dedicated Spine Surgery Centers of Excellence and interventional pain specialists: [healthy.kaiserpermanente.org/orthopedics],0 (Hospital System),10-25,Mid,Physician-Owned / Independent,"Sudeep Singh (SVP Dev, HCA)",https://www.linkedin.com/in/sudeepsingh1/,
Kearny Mesa Surgery Center,https://kearnymesasurgery.com/,CA,San Diego,,,Multi-Specialty,Central San Diego facility with focus on same-day orthopedic procedures: [kearnymesasurgery.com],1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Kern County Orthopaedic Medical Group,https://kernortho.com/,CA,Bakersfield,,,Orthopedics | Spine,"Established Bakersfield group focused on joint replacement, spine, and trauma care: [kernortho.com]",0,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
La Brea Surgery Center,https://labreasurgery.com/,CA,Los Angeles,,,Multi-Specialty (Ortho/Spine),LA-based facility with significant orthopedic and pain management volume: [labreasurgery.com],1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
La Jolla Spine Institute,https://www.lajollaspine.com/,CA,La Jolla,,,Spine,Dedicated spinal surgery and interventional pain practice in La Jolla: [lajollaspine.com],0,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Long Beach Orthopedic Center,https://longbeachorthopediccenter.com/,CA,Long Beach,,,Orthopedics,Clinical focus on spinal health and rehabilitative orthopedics: [longbeachorthopediccenter.com],0,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Los Angeles Orthopaedic Surgery Specialists,https://laoss.com/,CA,Los Angeles,Orthopedics,Orthopedic,Orthopedics | Spine,"Official site (laorthos.com) lists comprehensive spine, joint care, and interventional pain management/epidural injections: [laorthos.com/about-us]",0,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Los Angeles Orthopedic Center,https://www.laorthocenter.com/,CA,Los Angeles,Orthopedics,Orthopedic,Orthopedics,Downtown LA practice offering joint replacement and herniated disc treatment: [laorthocenter.com],0,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Los Angeles Orthopedic Institute (LAOI),https://laortho.org/,CA,Los Angeles,Orthopedics,Orthopedic,Orthopedics | Spine,"Specialized focus on neck & spine surgery, sports medicine, and joint preservation: [laortho.org/specialties-services]",0,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Los Gatos Surgery Center,https://losgatossurgerycenter.com/,CA,Los Gatos,,,Multi-Specialty,Physician-owned ASC with significant musculoskeletal procedure volume: [losgatossurgerycenter.com],1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Main Street Specialty Surgery Center,https://mainstreetspecialty.com/,CA,Orange,,,Multi-Specialty (Ortho/Spine),High-volume Orange County facility exclusively for outpatient surgery: [mainstreetspecialty.com],1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Marin Spine and Orthopedic Center,https://marinspineortho.com/,CA,Novato,,,Orthopedics | Spine,Dedicated center for advanced spinal treatment and sports medicine: [marinspineortho.com],0,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Memorial Orthopaedic Surgical Group,https://www.memorialorthopaedic.com/,CA,Long Beach,,,Orthopedics,Expert team in Long Beach providing advanced orthopedic and spinal care: [memorialorthopaedic.com],0,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Minarets Surgery Center,https://minaretssurgerycenter.com/,CA,Fresno,,,Multi-Specialty (Ortho/Spine),Newer Fresno facility with dedicated orthopedic and pain management suites: [minaretssurgerycenter.com],1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Monterey Bay Spine & Joint,https://montereybayspine.com/,CA,Monterey,,,Spine,Advanced spine and joint center with a focus on interventional care: [montereybayspine.com],0,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Monterey Bay Surgery Center,https://montereybaysurgerycenter.com/,CA,Monterey,,,Multi-Specialty,Dedicated outpatient surgical facility in Monterey County: [montereybaysurgerycenter.com],1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Monterey Peninsula Surgery Center,https://montereysurgery.com/,CA,Monterey,,,Multi-Specialty (Ortho/Spine),Largest independent ASC system on the Central Coast with heavy ortho volume: [montereysurgery.com],3,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Monterey Spine & Joint,https://www.msjhealth.com/,CA,Monterey,Mixed,Mixed,Spine,Multi-specialty center with dedicated physical therapy and surgical programs: [msjhealth.com],1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Muir Orthopedic Surgery Center,https://muirorthopedic.com/,CA,Walnut Creek,,,Orthopedics,Dedicated surgical facility for Muir Orthopaedic Specialists in the East Bay: [muirorthopedic.com],1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Napa Valley Orthopaedic Medical Group,https://napavalleyortho.com/,CA,Napa,Orthopedics,Orthopedic,Orthopedics,Primary orthopedic resource for the Napa Valley region: [napavalleyortho.com],0,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Newport Beach Surgery Center,https://newportbeachasc.com/,CA,Newport Beach,,,Multi-Specialty,High-volume coastal ASC with specialized orthopedic surgical volume: [newportbeachasc.com],1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
North Bay Orthopaedic Associates,https://www.northbayortho.com/,CA,Vallejo,,,Orthopedics,General orthopedic group serving the North Bay area: [northbayortho.com],0,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Northern California Orthopaedic Associates,https://ncoa.md/,CA,Sacramento,,,Orthopedics,Specializes in complex orthopedic surgery and non-surgical management in the Sacramento area: [ncoa.md],0,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Northern California Surgery Center,https://norcalsurgerycenter.com/,CA,Sacramento,,,Multi-Specialty (Ortho/Spine),Major Sacramento ASC with high volume of orthopedic and spinal procedures: [norcalsurgerycenter.com],1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Northridge Surgery Center,https://northridgeasc.com/,CA,Northridge,,,Multi-Specialty,Serving the San Fernando Valley with specialized orthopedic programs: [northridgeasc.com],1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Olympia Surgery Center,https://olympiabeverlyhills.com/,CA,Beverly Hills,,,Multi-Specialty,Beverly Hills based ASC with strong orthopedic spine surgical volume: [olympiabeverlyhills.com],1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Orange County Orthopedic Associates,https://www.ocortho.com/,CA,Orange,Orthopedics,Orthopedic,Orthopedics | Spine,"Clinic specializing in spine care, joint replacement, and sports medicine (Note: provided URL redirects to orthodontics, clinical focus verified via provider records): [ocortho.com]",0,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Orange County Surgery Center,https://ocasc.com/,CA,Santa Ana,,,Multi-Specialty,Centralized Orange County resource for outpatient orthopedic procedures: [ocasc.com],1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Ortho 1 Medical Group,https://www.ortho1.com/,CA,San Diego,,,Orthopedics,Comprehensive orthopedic practice with multiple locations in San Diego: [ortho1.com],0,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
OrthoLoneStar,,TX,,,,Orthopedics,,,150+,High,Physician-Owned,Anthony Brooks,https://www.linkedin.com/in/anthonybrooks1/,1215543566
OrthoNorCal,https://www.orthonorcal.com/,CA,Los Gatos,Orthopedics,Orthopedic,Orthopedics | Spine,Comprehensive ortho group specializing in MIS spine surgery and reconstruction: [orthonorcal.com],0,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Orthopaedic Associates Medical Clinic,https://www.thebonesurgeons.com/,CA,Visalia,,,Orthopedics,Primary orthopedic surgery resource in the Visalia/Tulare region: [thebonesurgeons.com],0,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Orthopaedic Associates of Marin,https://www.marinortho.com/,CA,Larkspur,,,Orthopedics,Comprehensive orthopedic care in Marin County; affiliated with specialty surgical facilities: [marinortho.com],1,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Orthopaedic Associates of Riverside,https://www.oariverside.com/,CA,Riverside,,,Orthopedics,Regional practice focused on arthroscopy and spinal disorders: [oariverside.com],0,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
